Category,Institution,Name,Description,Focus Areas,Contact,Website
Research,Institute for Sustainable Energy Systems,Jakob Petersen,"Experts in Data Science with additional focus on Digital Sustainability, Semiconductor Technology.","Data Science, Digital Sustainability, Semiconductor Technology",jakob.petersen@institut.ch,https://www.institute.ch
Research,St.Gallen Institute of Technology and Innovation,Lukas Bühler,"Providing expertise in Corporate Social Responsibility, Technology through research, education, and innovation.","Corporate Social Responsibility, Technology",lukas.bühler@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Institute of Technology and Innovation,Christian Wagner,Specializing in Corporate Social Responsibility with complementary work in Technology.,"Corporate Social Responsibility, Technology",christian@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Biotech Innovation Center,Erik Franco,"Advancing knowledge and applications in Mobility, Digital Health, particularly Mobility.","Mobility, Digital Health",e.franco@st.gallen.ch,https://www.st.gallen.ch
Network,Innovation Network Eastern Switzerland - Smart Mobility,Anastasia Schulze,"Providing expertise in Mobility, Digital Health through research, education, and innovation.","Mobility, Digital Health",a.schulze@innovation.ch,https://www.innovation.ch
Academia,Eastern Switzerland University of Applied Sciences - Technology Department,Jakob Petersen,"Research and teaching in Technology Management, Medical Technology, Digitalization, with a special emphasis on Technology Management.","Technology Management, Medical Technology, Digitalization",jakob.petersen@unisg.ch,https://www.unisg.ch
Government,Canton of St. Gallen - Economic Development Office,Sophie Dufour,"Research group focused on Technology Management, also exploring Medical Technology, Digitalization.","Technology Management, Medical Technology, Digitalization",sdufour@canton.ch,https://www.canton.ch
Academia,Empa - Smart Cities Division,Jasmin Baumann,Experts in Consumer Behavior with additional focus on Family Businesses.,"Consumer Behavior, Family Businesses",jasmin.baumann@empa.ch,https://www.empa.ch
Network,Innovation Network Eastern Switzerland - AgriTech,Martin Dupont,Specializing in Consumer Behavior with complementary work in Family Businesses.,"Consumer Behavior, Family Businesses",martin.dupont@innovation.ch,https://www.innovation.ch
Research,St.Gallen Center for Digital Transformation,Rafael Silva,"Research and teaching in HR Management, Business Growth, Technology Management, Supply Chain Management, with a special emphasis on HR Management.","HR Management, Business Growth, Technology Management, Supply Chain Management",r.silva@st.gallen.ch,https://www.st.gallen.ch
Research,Institute for Sustainable Energy Systems,Clémence Girard,"Specializing in HR Management with complementary work in Business Growth, Technology Management, Supply Chain Management.","HR Management, Business Growth, Technology Management, Supply Chain Management",clémence@institut.ch,https://www.institute.ch
Research,Helvetia Insurance Data Science Lab,Erik Franco,Experts in International Partnerships with additional focus on High Voltage Engineering.,"International Partnerships, High Voltage Engineering",erik@helvetia.ch,https://www.helvetia.ch
Academia,Eastern Switzerland University of Applied Sciences - Renewable Energy Research,Helena Schmid,Developing solutions in International Partnerships while conducting research on High Voltage Engineering.,"International Partnerships, High Voltage Engineering",schmid.h@unisg.ch,https://www.unisg.ch
Research,St.Gallen Institute for Human Resources Management,Julian Ribeiro,"Studies and innovations in Social Innovation, Social Partnership, with primary emphasis on applications in Social Innovation.","Social Innovation, Social Partnership",jribeiro@stgallen.ch,https://www.st.gallen.ch
Network,Innovation Network Eastern Switzerland - AgriTech,Anna Simonsen,"Research group focused on Social Innovation, also exploring Social Partnership.","Social Innovation, Social Partnership",asimonsen@innovation.ch,https://www.innovation.ch
Research,Roche Diagnostics Research Unit,Gregor Wolff,"Studies and innovations in Injection Molding, Feasibility Studies, International Business, Electrical Engineering, with primary emphasis on applications in Injection Molding.","Injection Molding, Feasibility Studies, International Business, Electrical Engineering",gregor.wolff@ost.ch,https://www.ost.ch
Academia,University of St.Gallen - Center for Marketing Studies,Sebastian Lange,"Research and teaching in Injection Molding, Feasibility Studies, International Business, Electrical Engineering, with a special emphasis on Injection Molding.","Injection Molding, Feasibility Studies, International Business, Electrical Engineering",sebastian.lange@unisg.ch,https://www.unisg.ch
Academia,University of St.Gallen - Institute for Economics,Alice Keller,"Studies and innovations in Service Innovation, Research Collaboration, with primary emphasis on applications in Service Innovation.","Service Innovation, Research Collaboration",keller.a@unisg.ch,https://www.unisg.ch
Research,Empa,Roman Koch,"Research and teaching in Service Innovation, Research Collaboration, with a special emphasis on Service Innovation.","Service Innovation, Research Collaboration",roman.koch@empa.ch,https://www.empa.ch
Academia,Eastern Switzerland University of Applied Sciences - Applied AI Laboratory,Pavel Kozlov,Experts in Biomedical Imaging with additional focus on Nursing Science.,"Biomedical Imaging, Nursing Science",pavel@unisg.ch,https://www.unisg.ch
Academia,University of St.Gallen - Center for Marketing Studies,Leonie Moreau,"Providing expertise in Biomedical Imaging, Nursing Science through research, education, and innovation.","Biomedical Imaging, Nursing Science",leonie.moreau@unisg.ch,https://www.unisg.ch
Research,Institute for Sustainable Energy Systems,Tobias Keller,"Providing expertise in Recycling, Environmental Technology, Sustainable Energy through research, education, and innovation.","Recycling, Environmental Technology, Sustainable Energy",tkeller@institut.ch,https://www.institute.ch
Research,Institute for Sustainable Energy Systems,Ines Horváth,"Experts in Recycling with additional focus on Environmental Technology, Sustainable Energy.","Recycling, Environmental Technology, Sustainable Energy",ines.horváth@institut.ch,https://www.institute.ch
Research,St.Gallen Institute for Digital Ethics,Ella García,"Specializing in Ethics with complementary work in Inclusion, Corporate Social Responsibility.","Ethics, Inclusion, Corporate Social Responsibility",ella.garcía@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Institute for Digital Ethics,Eva Molnár,"Research group focused on Ethics, also exploring Inclusion, Corporate Social Responsibility.","Ethics, Inclusion, Corporate Social Responsibility",molnár.e@stgallen.ch,https://www.st.gallen.ch
Academia,University of St.Gallen - Center for Marketing Studies,Anna Simonsen,"Developing solutions in Philosophy while conducting research on Social Work, Business Ethics, Social Partnership.","Philosophy, Social Work, Business Ethics, Social Partnership",simonsen.a@unisg.ch,https://www.unisg.ch
Academia,Eastern Switzerland University of Applied Sciences - Cybersecurity Lab,Mila González,"Providing expertise in Philosophy, Social Work, Business Ethics, Social Partnership through research, education, and innovation.","Philosophy, Social Work, Business Ethics, Social Partnership",m.gonzález@unisg.ch,https://www.unisg.ch
Government,Canton of St. Gallen,Philip Larsen,"Providing expertise in Neurodegenerative Diseases, Policy Representation through research, education, and innovation.","Neurodegenerative Diseases, Policy Representation",plarsen@canton.ch,https://www.canton.ch
Research,Bühler AG Innovation Lab,Stella Ricci,"Studies and innovations in Neurodegenerative Diseases, Policy Representation, with primary emphasis on applications in Neurodegenerative Diseases.","Neurodegenerative Diseases, Policy Representation",stella.ricci@bühler.ch,https://www.bühler.ch
